SAMPLE_ID	GRP	SAMPLE_POINT
YOY-3_T1-042	YOY-3	T1
YOY-3_T1-047	YOY-3	T1
YOY-2_T1-109	YOY-2	T1
YOY-2_T1-110	YOY-2	T1
YOY-2_T1-111	YOY-2	T1
YOY-2_T1-112	YOY-2	T1
YOY-2_T1-113	YOY-2	T1
YOY-2_T1-114	YOY-2	T1
YOY-2_T1-115	YOY-2	T1
YOY-2_T1-118	YOY-2	T1
YOY-2_T1-120	YOY-2	T1
YOY-3_T1-051	YOY-3	T1
YOY-3_T1-052	YOY-3	T1
YOY-3_T1-056	YOY-3	T1
YOY-3_T1-058	YOY-3	T1
YOY-3_T1-059	YOY-3	T1
YOY-2_T2-025	YOY-2	T2
YOY-2_T2-026	YOY-2	T2
YOY-2_T2-027	YOY-2	T2
YOY-2_T2-028	YOY-2	T2
YOY-2_T2-029	YOY-2	T2
YOY-2_T2-030	YOY-2	T2
YOY-2_T2-031	YOY-2	T2
YOY-2_T2-032	YOY-2	T2
YOY-2_T2-033	YOY-2	T2
YOY-2_T2-034	YOY-2	T2
YOY-2_T2-035	YOY-2	T2
YOY-2_T2-036	YOY-2	T2
YOY-2_T3-025	YOY-2	T3
YOY-2_T3-026	YOY-2	T3
YOY-2_T3-027	YOY-2	T3
YOY-2_T3-028	YOY-2	T3
YOY-2_T3-029	YOY-2	T3
YOY-2_T3-030	YOY-2	T3
YOY-2_T3-031	YOY-2	T3
YOY-2_T3-032	YOY-2	T3
YOY-2_T3-033	YOY-2	T3
YOY-2_T3-035	YOY-2	T3
YOY-2_T3-036	YOY-2	T3
YOY-2_T3-109	YOY-2	T3
YOY-2_T3-111	YOY-2	T3
YOY-2_T3-112	YOY-2	T3
YOY-3_T1-061	YOY-3	T1
YOY-3_T1-066	YOY-3	T1
YOY-3_T1-067	YOY-3	T1
YOY-3_T1-070	YOY-3	T1
YOY-3_T1-071	YOY-3	T1
YOY-2_T2-037	YOY-2	T2
YOY-2_T2-038	YOY-2	T2
YOY-2_T2-039	YOY-2	T2
YOY-2_T2-040	YOY-2	T2
YOY-2_T2-041	YOY-2	T2
YOY-2_T2-042	YOY-2	T2
YOY-2_T2-043	YOY-2	T2
YOY-2_T2-044	YOY-2	T2
YOY-2_T2-045	YOY-2	T2
YOY-2_T2-046	YOY-2	T2
YOY-2_T2-047	YOY-2	T2
YOY-2_T2-048	YOY-2	T2
YOY-2_T3-086	YOY-2	T3
YOY-2_T3-087	YOY-2	T3
YOY-2_T3-090	YOY-2	T3
YOY-2_T3-091	YOY-2	T3
YOY-2_T3-092	YOY-2	T3
YOY-2_T3-093	YOY-2	T3
YOY-2_T3-094	YOY-2	T3
YOY-2_T3-095	YOY-2	T3
YOY-2_T3-096	YOY-2	T3
YOY-3_T1-074	YOY-3	T1
YOY-3_T1-075	YOY-3	T1
YOY-3_T1-080	YOY-3	T1
YOY-3_T1-081	YOY-3	T1
YOY-3_T1-082	YOY-3	T1
YOY-3_T1-084	YOY-3	T1
YOY-2_T2-049	YOY-2	T2
YOY-2_T2-050	YOY-2	T2
YOY-2_T2-051	YOY-2	T2
YOY-2_T2-052	YOY-2	T2
YOY-2_T2-053	YOY-2	T2
YOY-2_T2-054	YOY-2	T2
YOY-2_T2-055	YOY-2	T2
YOY-2_T2-056	YOY-2	T2
YOY-2_T2-057	YOY-2	T2
YOY-2_T2-058	YOY-2	T2
YOY-2_T2-059	YOY-2	T2
YOY-2_T2-060	YOY-2	T2
YOY-2_T1-121	YOY-2	T1
YOY-2_T1-123	YOY-2	T1
YOY-2_T1-124	YOY-2	T1
YOY-2_T1-125	YOY-2	T1
YOY-2_T1-126	YOY-2	T1
YOY-2_T2-121	YOY-2	T2
YOY-2_T2-122	YOY-2	T2
YOY-2_T2-123	YOY-2	T2
YOY-2_T2-124	YOY-2	T2
YOY-2_T2-125	YOY-2	T2
YOY-2_T2-126	YOY-2	T2
YOY-2_T3-037	YOY-2	T3
YOY-2_T3-038	YOY-2	T3
YOY-2_T3-040	YOY-2	T3
YOY-2_T3-041	YOY-2	T3
YOY-2_T3-043	YOY-2	T3
YOY-2_T3-044	YOY-2	T3
YOY-2_T3-045	YOY-2	T3
YOY-2_T3-046	YOY-2	T3
YOY-2_T3-047	YOY-2	T3
YOY-2_T3-117	YOY-2	T3
YOY-2_T3-118	YOY-2	T3
YOY-2_T3-119	YOY-2	T3
YOY-2_T3-097	YOY-2	T3
YOY-2_T3-100	YOY-2	T3
YOY-2_T3-101	YOY-2	T3
YOY-2_T3-102	YOY-2	T3
YOY-2_T3-103	YOY-2	T3
YOY-2_T3-105	YOY-2	T3
